Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Description,Comments,RoHS Status,Lead Free Status,REACH Status
399-1249-1-ND,KEMET (VA),C1206C104K5RACTU,C1 C2,2,0,0,CAP CER 0.1UF 50V 10% X7R 1206,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2012
P330ECT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-8GEYJ331V,R1 R2,2,0,0,RES 330 OHM 1/4W 5% 1206 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
768-1007-1-ND,FTDI (VA),FT232RL-REEL,U1,1,0,0,IC USB FS SERIAL UART 28-SSOP,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2011
399-8268-1-ND,KEMET (VA),T491A106K010AT7280,C4,1,0,0,CAP TANT 10UF 10V 10% 1206,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2012
754-1174-1-ND,KINGBRIGHT COMPANY LLC (VA),APTR3216SYCK,D1,1,0,0,LED 3.2X1.6MM 590NM YLW CLR SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2012
754-1439-1-ND,KINGBRIGHT COMPANY LLC (VA),APT3216QBC/D,D2,1,0,0,LED 3.2X1.6 470NM BL WTR CLR SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2012
ED2992CT-ND,ON SHORE TECHNOLOGY INC (VA),USB-M26FTR,JP2,1,0,0,CONN USB MINI B R/A SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Aug-2011
952-1918-ND,HARWIN INC,M20-9761346,JP3,1,0,0,2X13POS DIL VERTICAL PIN HEADER,,RoHS Compliant,Lead free,Not Available
587-3250-1-ND,TAIYO YUDEN (VA),FBMH3216HM221NT,L1,1,0,0,FERRITE BEAD 220 OHM 1206,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
399-1234-1-ND,KEMET (VA),C1206C103K5RACTU,C3,1,0,0,CAP CER 10000PF 50V 10% X7R 1206,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2012
